12144	11524	3688	4554	3323	3516
12184	11644	3852	2538	2171	2870
12008	11488	4020	117	1170	2012
11492	11000	3896	-2569	118	1027
11492	11176	3824	-5140	-1399	21
11604	11416	3700	-7508	-3254	-1304
11364	11132	3636	-9753	-5389	-2407
11736	11048	3532	-11719	-7028	-3594
11448	10744	3576	-13607	-8605	-4145
12128	11228	3596	-15010	-10184	-4657
11848	10896	3440	-16150	-12219	-5184
11580	10356	3356	-16636	-13619	-5395
12380	10916	3476	-16811	-14838	-5546
12688	11160	3700	-16727	-16205	-5515
12248	10564	3608	-16502	-16865	-5393
12148	10232	3672	-15924	-16906	-5097
12476	10608	3732	-15227	-16946	-4799
12720	10788	3916	-14207	-16725	-4446
12784	10768	4160	-13261	-15811	-3844
12700	10756	4336	-12433	-14232	-2955
12584	10544	4536	-11468	-12446	-1905
12208	10392	4264	-10532	-10408	-1039
12312	10548	4452	-9386	-8626	-333
12596	11012	4680	-8319	-7129	234
12660	10992	4520	-7521	-5200	864
14556	5832	29656	1763	16167	2782
9100	15372	-7900	9721	9524	5169
19000	4948	5880	4534	1637	6555
14564	8772	2608	5840	3838	1594
16544	5484	6176	4668	6110	1156
16132	6780	3812	5623	9518	6319
16552	6060	5616	6171	10626	9924
17348	6028	384	6548	7242	12588
18416	6660	-2324	6084	380	12515
18628	7248	2660	4402	-1914	8851
17796	8012	4504	3580	1411	6774
15168	6520	3288	2611	2099	8093
16072	6684	3864	2744	-209	10290
17380	6468	5324	4601	2509	10483
16852	5600	4772	3815	2834	8562
16092	6328	4256	1623	2296	7717
16140	6284	3152	531	2682	7274
16884	5908	3492	-1321	2389	6615
17504	5824	4360	-1723	1556	6493
16608	6136	4212	-743	2591	6129
16796	4252	4844	-468	2714	8150
17136	5160	5356	-3291	1201	9148
17392	4684	5756	-3221	1832	8731
17028	3888	4324	-1846	717	8869
16320	2668	6160	-2067	-1006	9891
16508	2976	4972	-2467	-1300	10684
14552	1120	3256	-1653	-3223	13901
15504	-988	5092	-1088	-5956	14275
17832	596	6448	-2273	-2889	11537
16588	536	5328	-4971	-314	10957
16168	920	6384	-3369	-755	13531
15476	516	6940	-526	3865	11588
13872	-756	2764	-2369	-130	7212
16260	-860	2400	-445	-1959	5441
16404	-2028	3244	1211	1650	7090
16148	-1668	3876	-984	3084	6100
15200	-2692	2580	-4117	210	4163
15484	-2340	3704	-4731	-2797	2466
16076	-2668	3160	-4611	-3019	2144
15752	-2808	4516	-3533	-699	1467
14160	-2480	4216	-2745	139	548
13500	-3240	3668	-2301	-580	388
14812	-2952	3432	-2192	-835	972
16140	-3340	3572	-1123	1195	1106
15352	-3912	3076	864	1226	1513
14444	-4064	3092	-1640	-838	288
14868	-3640	2224	-1687	-1503	429
15088	-3624	2480	-1627	-1164	989
14864	-3564	2764	-786	-494	1479
15116	-3812	1924	-1379	-1679	1026
14972	-3928	2696	-1319	-1599	1226
14520	-4124	3012	-1444	-707	1080
14168	-3968	2236	-327	-231	1308
13564	-2796	2796	461	1165	233
12180	-1468	1388	2639	2700	-600
13848	120	4212	8844	8806	-1251
10708	8068	2608	14653	16508	-3113
8400	6676	2952	13533	18635	-6812
8032	6760	1964	15002	15565	-8213
9440	9660	1960	15086	8691	-11371
10768	10980	2444	14398	1789	-17315
12356	11524	3216	13120	-5192	-21724
15440	13768	5000	11017	-7788	-23679
15100	12832	4148	6102	-9727	-23067
16948	14048	4356	5198	-9404	-22165
17644	14712	4916	5730	-7817	-21442
18400	14880	5172	7108	-5936	-19741
19112	15364	5716	10386	-2967	-16800
20640	16704	6348	13029	2400	-14134
19888	16296	5584	15342	6403	-10674
19708	16760	5056	17211	9327	-8555
19112	16836	4812	17733	9916	-7877
19928	18404	4624	16878	7518	-8373
18896	18036	4108	14778	2795	-10242
