48	-3772	17056	-605	443	-1204
-88	-3812	16888	-650	529	-1012
60	-3900	17092	-538	499	-843
-16	-4000	17036	-395	630	-738
-28	-4108	16728	-356	523	-606
-16	-3884	17164	-220	401	-515
12	-4060	16804	-378	465	-410
-204	-3984	16980	-381	479	-327
-332	-3880	17052	-273	458	-397
-316	-3892	17216	-317	522	-565
-492	-3740	17292	-438	430	-692
-740	-3536	17304	-507	567	-891
-688	-3564	17052	-616	532	-1050
-672	-3548	16944	-612	406	-1149
-784	-3580	17176	-372	478	-1206
-728	-3544	17192	-293	660	-1443
-660	-3684	17204	-356	754	-1721
-748	-3436	17220	-279	553	-2043
-768	-3340	17624	-529	605	-2320
-856	-3288	17192	-879	866	-2518
-1100	-3328	17332	-775	1093	-2870
-1016	-3316	17176	-643	1109	-3050
-1144	-2964	17356	-906	1089	-3409
-1164	-3052	17340	-841	1227	-3806
-844	-2960	17424	-664	1268	-4302
-1164	-2924	17392	-681	1532	-4644
-932	-2916	17176	-486	1715	-4914
-1076	-2932	17192	-514	1887	-5384
-1112	-3000	16912	-244	2066	-5627
-1060	-2772	17188	-29	2394	-5858
-896	-2788	17208	173	2439	-6249
-808	-2860	17296	220	2218	-6547
-860	-2908	17472	108	2299	-6816
-824	-2920	16980	-73	2473	-7006
-808	-2932	16996	150	2376	-7450
-488	-3144	17100	156	2609	-7974
-440	-2984	17140	373	2653	-8580
-492	-2848	17900	751	3050	-9223
-200	-2768	17448	206	3047	-9594
-252	-3032	17672	-504	3218	-10043
-576	-3292	17056	-674	3843	-10170
-236	-3416	16836	-657	4312	-10371
-28	-3528	17156	-84	4331	-10812
4	-3156	17740	111	3628	-11478
488	-2352	18208	43	2991	-12624
776	-2248	19348	815	3003	-13535
584	-2368	18764	178	3705	-14056
224	-2464	17716	-794	4297	-14490
128	-2716	16700	-1454	4842	-14896
-76	-2796	16564	-1328	5536	-15186
280	-2604	16700	-715	5956	-15781
204	-1932	17908	151	5925	-16376
188	-1580	18188	53	6356	-16745
376	-1528	18004	385	7374	-17150
448	-1616	17848	1432	7667	-17443
420	-2176	18120	1403	6930	-18281
516	-1392	17384	574	5670	-18235
440	-2380	16632	188	4673	-17927
932	-2968	16884	722	3687	-17625
1192	-3144	16832	352	3819	-17152
768	-3528	17060	292	3478	-16632
884	-3424	17648	866	3461	-15988
540	-3036	18188	1172	4180	-15285
180	-2564	18244	1547	4434	-14830
-212	-2504	18316	1592	5148	-14498
-668	-2568	17332	1458	5585	-14245
-648	-2360	16816	1705	5760	-14444
-988	-2280	16924	1646	6131	-14533
