-2564	1148	10800	-1681	-12568	-546
6932	-2632	17220	113	-305	7583
5672	-2248	19528	2330	6762	4755
6240	-1600	14988	3572	-1050	-281
7868	792	17860	-3518	5578	2505
4180	-2716	15964	-5897	9005	239
5320	-164	18312	4650	-3883	352
4272	-1388	16648	2359	-1615	-1574
3248	-3628	17040	-2906	4761	-3343
3232	-3904	16116	6228	-2917	-752
4696	-1268	17176	3438	2085	-965
1712	-564	12900	1992	-836	1193
3892	-784	19292	2563	-2426	1112
820	-1896	17460	-1838	840	1267
3740	-1060	14808	-3264	4379	1948
3200	-636	17324	1058	137	3743
2188	-316	17356	759	-171	163
1344	-1796	17708	-1229	-469	116
1628	-1328	17460	-1384	1760	-184
1580	-1588	16372	757	544	590
2268	-404	16128	-49	33	873
3260	812	17068	4398	-5132	82
3316	1628	11600	4161	-10508	1957
7232	3300	14624	9411	-9992	-1345
8444	4184	16068	14736	-13521	-3025
11920	9456	16576	9479	-5969	-1133
11900	9140	12816	1157	461	313
9832	6072	12232	-3043	1816	218
11200	8368	13520	2763	-2201	672
10132	7268	12420	3667	-1985	61
9916	6384	12048	4159	-2914	595
10716	7668	11392	1571	-1534	255
10272	7708	12680	-15807	13603	1439
5824	1556	13876	-32768	31192	-2407
-2016	-8000	16784	-10515	7874	-2181
-3540	-9688	13200	-12695	8220	-2727
-3676	-10448	13556	-1212	218	348
-3184	-10280	13276	589	-919	333
-2480	-10512	14608	-46	-1820	-407
-4428	-11632	11788	16866	-14508	-4488
372	-5008	13720	20067	-21278	-2813
5236	-660	11952	19512	-18641	-1326
11764	6644	15152	18622	-14589	-1509
11784	7124	12148	5373	-2738	-918
12428	14692	5108	944	2774	1277
13664	12864	7764	-3700	4657	1797
13296	11140	6508	-2020	2408	1760
12388	7996	7468	-2878	2257	1711
11860	7928	8688	-2058	1075	289
11592	7948	9008	-2550	2211	235
12040	7660	9340	-1563	2097	1107
12120	8508	9144	-6043	5943	905
5192	2704	10540	-32768	32767	-4221
2548	-2596	14928	-13561	4872	-2453
4576	-4612	19308	-5843	-5449	-2441
6784	-2084	17032	5798	1031	-950
5452	-1712	16952	6813	3535	1313
3428	-1664	15928	18425	-13274	5251
6852	1080	16148	-1777	-989	391
7388	52	16448	-2090	-1147	775
7036	748	16164	-638	42	267
6508	-2228	15848	-1788	-1578	2811
7656	-332	15832	-236	-241	1119
7336	172	15812	-395	306	167
7452	-712	15776	150	759	-1158
6848	1260	15976	-740	282	-671
8540	-428	15380	458	1472	1018
7460	2056	15188	-428	299	-1069
6256	1880	16072	-4996	-3859	733
